date,zone,crime_type,latitude,longitude,incident_count
2014-06-03 00:42:00,North-West,Burglary,28.746365,77.111721,1
2014-08-10 04:59:00,North-East,Theft,28.697504,77.265809,1
2014-04-26 10:41:00,North-East,Theft,28.697495,77.266465,1
2014-09-04 15:35:00,West,Theft,28.676814,77.08609,1
2014-03-10 11:11:00,South-West,Burglary,28.585008,77.060269,1
2014-11-15 14:43:00,West,Theft,28.665865,77.090493,1
2014-12-21 00:10:00,North-West,Burglary,28.731631,77.094079,1
2014-03-01 00:51:00,South-West,Theft,28.591729,77.077168,1
2014-09-28 22:18:00,North-West,Theft,28.748074,77.103112,1
2014-03-13 15:38:00,New Delhi,Theft,28.631595,77.191295,1
2014-11-18 23:43:00,New Delhi,Theft,28.627529,77.192412,1
2014-07-03 15:57:00,Central,Theft,28.626393,77.222826,1
2014-06-09 16:27:00,Central,Burglary,28.649488,77.220803,1
2014-03-19 06:07:00,Outer,Theft,28.691036,77.01562,1
2014-01-05 22:32:00,East,Theft,28.631011,77.294683,1
2014-08-25 05:43:00,Outer,Burglary,28.706887,77.013497,1
2014-06-01 23:23:00,South-West,Theft,28.578501,77.04835,1
2014-10-05 09:00:00,North,Burglary,28.677002,77.228144,1
2014-04-01 05:05:00,North-East,Theft,28.708443,77.251741,1
2014-03-04 04:13:00,Outer,Theft,28.695914,76.989749,1
2014-05-31 12:46:00,North-West,Theft,28.760231,77.096393,1
2014-09-28 06:49:00,North-East,Theft,28.694592,77.2734,1
2014-08-13 19:07:00,Outer,Fraud,28.718505,77.011858,1
2014-10-22 05:12:00,North-West,Theft,28.724445,77.110289,1
2014-03-23 22:27:00,West,Burglary,28.669829,77.059742,1
2014-09-25 08:46:00,South-West,Burglary,28.578294,77.067428,1
2014-02-11 16:11:00,South-West,Theft,28.585168,77.049456,1
2014-04-27 08:31:00,West,Theft,28.670289,77.073993,1
2014-10-04 00:26:00,North-East,Burglary,28.696994,77.285994,1
2014-01-07 12:48:00,North-West,Assault,28.759085,77.076139,1
2014-07-20 05:19:00,South-East,Burglary,28.529344,77.250564,1
2014-09-17 06:24:00,Central,Burglary,28.654549,77.227681,1
2014-03-08 07:18:00,East,Robbery,28.613457,77.280565,1
2014-08-21 18:00:00,West,Theft,28.670931,77.071405,1
2014-08-27 09:20:00,New Delhi,Theft,28.609695,77.194433,1
2014-06-30 05:20:00,South-West,Theft,28.558126,77.085896,1
2014-12-09 16:20:00,East,Burglary,28.63635,77.300909,1
2014-06-26 16:33:00,South-West,Theft,28.559267,77.085466,1
2014-05-04 20:26:00,West,Theft,28.665423,77.056649,1
2014-03-02 04:51:00,North,Theft,28.705263,77.226689,1
2014-11-13 07:59:00,Outer,Theft,28.71221,76.994465,1
2014-08-27 14:46:00,West,Theft,28.673686,77.085404,1
2014-12-11 05:51:00,Central,Theft,28.659238,77.20939,1
2014-03-05 19:42:00,Central,Robbery,28.652616,77.215255,1
2014-11-06 05:53:00,East,Theft,28.625702,77.300506,1
2014-09-08 17:37:00,South-East,Robbery,28.548229,77.232322,1
2014-06-29 18:15:00,South-West,Theft,28.561285,77.083441,1
2014-03-29 15:08:00,West,Theft,28.652241,77.06935,1
2014-11-07 21:12:00,New Delhi,Fraud,28.601636,77.189269,1
2014-09-15 05:12:00,Outer,Robbery,28.715,77.018794,1
2014-05-19 05:34:00,Outer,Burglary,28.696693,77.013284,1
2014-12-09 07:50:00,South-East,Theft,28.544545,77.233979,1
2014-09-02 18:36:00,North,Theft,28.704607,77.212255,1
2014-05-14 11:30:00,South-West,Theft,28.585145,77.080854,1
2014-08-03 19:50:00,North-West,Robbery,28.744195,77.077719,1
2014-12-05 23:24:00,Outer,Theft,28.729739,76.997443,1
2014-05-17 13:16:00,West,Theft,28.667915,77.084328,1
2014-02-09 14:09:00,West,Theft,28.666977,77.059857,1
2014-03-12 19:32:00,East,Theft,28.615177,77.288397,1
2014-06-08 16:02:00,Central,Theft,28.664218,77.206723,1
2014-04-01 01:46:00,Outer,Assault,28.716905,77.007622,1
2014-04-13 21:19:00,South,Burglary,28.478073,77.203846,1
2014-01-24 11:40:00,Outer,Theft,28.711189,76.99238,1
2014-02-18 02:03:00,North-West,Burglary,28.748685,77.085904,1
2014-12-06 10:03:00,West,Theft,28.684179,77.07686,1
2014-09-09 10:08:00,West,Theft,28.659552,77.087365,1
2014-04-21 03:44:00,South,Theft,28.490408,77.167707,1
2014-03-29 20:37:00,Outer,Theft,28.699838,76.987232,1
2014-02-16 22:57:00,South-West,Theft,28.571487,77.063975,1
2014-04-09 19:12:00,South,Theft,28.462075,77.181281,1
2014-09-04 09:38:00,West,Theft,28.654952,77.073849,1
2014-08-23 06:51:00,North-East,Theft,28.698595,77.275309,1
2014-09-23 11:54:00,South,Theft,28.478298,77.177769,1
2014-02-27 16:53:00,North-West,Theft,28.751622,77.094015,1
2014-03-23 21:59:00,East,Robbery,28.640288,77.282099,1
2014-05-12 03:32:00,West,Theft,28.655458,77.079018,1
2014-09-13 04:55:00,West,Theft,28.655463,77.073029,1
2014-04-17 05:18:00,North,Burglary,28.689527,77.222308,1
2014-07-16 06:21:00,Outer,Theft,28.705921,76.980834,1
2014-08-07 21:22:00,South-East,Burglary,28.53779,77.246799,1
2014-09-09 11:53:00,North-West,Theft,28.745539,77.110359,1
2014-03-29 21:53:00,North,Theft,28.669845,77.206798,1
2014-12-11 18:56:00,North-West,Fraud,28.745091,77.085016,1
2014-04-19 13:58:00,North-West,Theft,28.735373,77.090627,1
2014-09-16 00:45:00,West,Burglary,28.68107,77.072336,1
2014-04-28 02:59:00,South,Assault,28.467467,77.179706,1
2014-03-01 05:13:00,New Delhi,Theft,28.613871,77.22496,1
2014-10-05 17:42:00,Central,Assault,28.643904,77.216156,1
2014-08-12 17:09:00,South-East,Robbery,28.535112,77.246693,1
2014-10-22 09:45:00,Outer,Burglary,28.719616,76.988115,1
2014-10-12 20:31:00,Central,Theft,28.65636,77.202807,1
2014-04-19 00:50:00,South-West,Robbery,28.587932,77.054309,1
2014-06-05 04:44:00,South-East,Assault,28.533645,77.269927,1
2014-03-07 01:04:00,South,Robbery,28.476657,77.169564,1
2014-09-22 04:54:00,North-West,Theft,28.726159,77.095706,1
2014-09-21 02:47:00,Central,Theft,28.648058,77.216162,1
2014-06-11 20:17:00,South-West,Theft,28.590539,77.067572,1
2014-01-25 13:15:00,South,Theft,28.483895,77.183612,1
2014-04-03 01:39:00,South,Theft,28.500995,77.197528,1
2014-03-14 20:14:00,South,Theft,28.489996,77.197341,1
2014-06-30 04:10:00,South-East,Burglary,28.525693,77.232867,1
2014-01-09 18:14:00,North,Theft,28.676426,77.223676,1
2014-07-27 18:52:00,South,Theft,28.494633,77.184211,1
2014-09-13 13:36:00,South,Fraud,28.487068,77.194415,1
2014-01-04 17:37:00,West,Theft,28.652477,77.079361,1
2014-04-08 07:35:00,West,Theft,28.671686,77.087355,1
2014-08-19 11:43:00,South-West,Theft,28.586768,77.082447,1
2014-05-31 11:21:00,New Delhi,Theft,28.614051,77.211802,1
2014-03-12 16:51:00,South-East,Theft,28.552184,77.270612,1
2014-11-10 09:12:00,Outer,Theft,28.709529,76.985518,1
2014-03-03 22:34:00,Outer,Theft,28.704731,76.996361,1
2014-08-03 02:54:00,South-East,Burglary,28.543104,77.246504,1
2014-09-07 22:37:00,South,Fraud,28.490421,77.173472,1
2014-10-13 20:09:00,West,Theft,28.656262,77.088009,1
2014-03-17 02:20:00,Outer,Theft,28.710373,76.993424,1
2014-01-19 12:45:00,West,Theft,28.685678,77.07319,1
2014-05-27 00:15:00,South,Theft,28.485068,77.203287,1
2014-09-15 03:30:00,West,Assault,28.684848,77.088293,1
2014-08-26 01:26:00,North-East,Robbery,28.701738,77.255094,1
2014-10-07 07:30:00,South-East,Theft,28.537525,77.232621,1
2014-10-11 03:57:00,North-East,Theft,28.682571,77.249569,1
2014-08-09 16:38:00,South-East,Burglary,28.540216,77.24743,1
2014-10-24 08:26:00,West,Theft,28.651643,77.07984,1
2014-12-30 05:21:00,Outer,Burglary,28.69936,77.016189,1
2014-06-24 21:58:00,North,Theft,28.705736,77.222187,1
2014-04-15 09:25:00,North,Fraud,28.700744,77.241715,1
2014-08-28 19:17:00,South-West,Theft,28.562205,77.048555,1
2014-02-19 05:59:00,North-East,Theft,28.695124,77.280112,1
2014-09-20 12:16:00,West,Assault,28.6736,77.070269,1
2014-12-07 15:41:00,South-West,Burglary,28.573308,77.08471,1
2014-06-26 18:18:00,New Delhi,Robbery,28.599369,77.192401,1
2014-02-21 14:05:00,Outer,Theft,28.712948,76.985852,1
2014-09-04 00:39:00,South-East,Theft,28.55636,77.257172,1
2014-11-08 10:34:00,West,Theft,28.676155,77.055227,1
2014-08-11 16:35:00,West,Theft,28.64967,77.051143,1
2014-08-05 07:25:00,North-East,Theft,28.688804,77.279044,1
2014-06-28 07:52:00,South-East,Theft,28.536102,77.254421,1
2014-10-08 17:22:00,South,Theft,28.462234,77.169681,1
2014-09-28 14:56:00,South,Theft,28.486259,77.191941,1
2014-09-26 06:24:00,North,Theft,28.692135,77.229177,1
2014-05-05 11:54:00,South,Theft,28.497413,77.182427,1
2014-11-10 16:33:00,Central,Theft,28.66134,77.227259,1
